marker	SNP	chr	mb	SNP_impact	geneName	cmmb	logcmmb_quantile
s814p149820	s814p149820	8	1.626701	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_1589057_1613936-GENE_ScYP8k31HRSCAF1ch8_1638141_1641286	5.12513306996714	very high
s814p222143	s814p222143	8	1.69872	intron_variant	b1_b1_g26225	5.12513306996714	very high
s4041p40920	s4041p40920	8	1.858709	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_1748809_1839851-GENE_ScYP8k31HRSCAF1ch8_1865914_1867029	5.12513306996714	very high
s6864p3093	s6864p3093	8	1.895999	upstream_gene_variant	b2_b2_g36170	5.12513306996714	very high
s6864p1189	s6864p1189	8	1.897816	upstream_gene_variant	b2_b2_g36170	5.12513306996714	very high
s1691p150365	s1691p150365	8	1.912603	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_1884719_1895512-GENE_ScYP8k31HRSCAF1ch8_1917716_1929093	5.12513306996714	very high
s1691p123285	s1691p123285	8	1.939798	upstream_gene_variant	b1_b1_g26236	5.12513306996714	very high
s1691p88599	s1691p88599	8	1.974791	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_1944627_1959385-GENE_ScYP8k31HRSCAF1ch8_1996216_1996614	5.12513306996714	very high
s1691p32876	s1691p32876	8	2.02856	intron_variant	b2_b2_g36177	5.12513306996714	very high
s1691p14493	s1691p14493	8	2.047037	intron_variant	b1_b1_g26241	5.12513306996714	very high
s6086p10497	s6086p10497	8	2.105828	downstream_gene_variant	b1_b1_g26242	5.12513306996714	very high
s1178p194511	s1178p194511	8	2.142601	upstream_gene_variant	b1_b1_g26252	5.12513306996714	very high
s1178p184811	s1178p184811	8	2.152321	intron_variant	b1_b1_g26252	5.12513306996714	very high
s10096p2875	s10096p2875	8	2.340311	intron_variant	b1_b1_g26261	5.12513306996714	very high
s795p214272	s795p214272	8	2.410677	intron_variant	b1_b1_g26263	5.12513306996714	very high
s795p165097	s795p165097	8	2.45985	upstream_gene_variant	b1_b1_g26264	5.12513306996714	very high
s795p163074	s795p163074	8	2.461718	intron_variant	b2_b2_g36203	5.12513306996714	very high
s795p146011	s795p146011	8	2.479235	downstream_gene_variant	b1_b1_g26269	5.12513306996714	very high
s795p140172	s795p140172	8	2.485105	intron_variant	b1_b1_g26270	5.12513306996714	very high
s2272p92497	s2272p92497	8	2.651808	downstream_gene_variant	b1_b1_g26272	7.09472155861947	very high
s2272p70544	s2272p70544	8	2.673645	downstream_gene_variant	b1_b1_g26276	7.09472155861947	very high
s2272p22471	s2272p22471	8	2.72202	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_2690696_2703626-GENE_ScYP8k31HRSCAF1ch8_2738182_2752023	7.09472155861947	very high
s2272p5918	s2272p5918	8	2.738644	intron_variant	b1_b1_g26285	7.09472155861947	very high
s5685p24136	s5685p24136	8	2.769555	downstream_gene_variant	b1_b1_g26287	7.09472155861947	very high
s3025p23399	s3025p23399	8	2.837377	intron_variant	b1_b1_g26293	7.09472155861947	very high
s4390p46737	s4390p46737	8	2.863761	synonymous_variant	b1_b1_g26293	7.09472155861947	very high
s4390p16077	s4390p16077	8	2.894277	synonymous_variant	b1_b1_g26298	7.09472155861947	very high
s2349p82991	s2349p82991	8	2.952827	intron_variant	b1_b1_g26302	7.09472155861947	very high
s2349p42200	s2349p42200	8	2.993222	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_2945997_2956322-GENE_ScYP8k31HRSCAF1ch8_3011001_3011663	7.09472155861947	very high
s1622p127300	s1622p127300	8	3.168704	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_3011001_3011663-GENE_ScYP8k31HRSCAF1ch8_3180131_3202181	7.09472155861947	very high
s7357p4852	s7357p4852	8	3.208752	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_3180131_3202181-GENE_ScYP8k31HRSCAF1ch8_3217628_3228731	7.09472155861947	very high
s3054p41399	s3054p41399	8	3.261235	intron_variant	b2_b2_g36244	7.09472155861947	very high
s3054p53877	s3054p53877	8	3.273713	downstream_gene_variant	b1_b1_g26313	7.09472155861947	very high
s3054p53979	s3054p53979	8	3.273815	downstream_gene_variant	b1_b1_g26313	7.09472155861947	very high
s164p65964	s164p65964	8	3.374591	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_3322874_3363458-GENE_ScYP8k31HRSCAF1ch8_3380113_3380316	7.09472155861947	very high
s164p124188	s164p124188	8	3.432661	intron_variant	b1_b1_g26318	7.09472155861947	very high
s164p156618	s164p156618	8	3.464817	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_3382565_3457776-GENE_ScYP8k31HRSCAF1ch8_3475833_3478811	7.09472155861947	very high
s164p181547	s164p181547	8	3.489937	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_3475833_3478811-GENE_ScYP8k31HRSCAF1ch8_3499921_3507227	7.09472155861947	very high
s164p216819	s164p216819	8	3.525218	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_3499921_3507227-GENE_ScYP8k31HRSCAF1ch8_3581759_3582703	6.66412886356828	very high
s164p216936	s164p216936	8	3.525335	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_3499921_3507227-GENE_ScYP8k31HRSCAF1ch8_3581759_3582703	6.66412886356828	very high
s164p232671	s164p232671	8	3.54107	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_3499921_3507227-GENE_ScYP8k31HRSCAF1ch8_3581759_3582703	6.66412886356828	very high
s164p236063	s164p236063	8	3.544462	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_3499921_3507227-GENE_ScYP8k31HRSCAF1ch8_3581759_3582703	6.66412886356828	very high
s164p560481	s164p560481	8	3.868031	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_3839855_3848619-GENE_ScYP8k31HRSCAF1ch8_3956624_3980899	6.66412886356828	very high
s164p589009	s164p589009	8	3.896453	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_3839855_3848619-GENE_ScYP8k31HRSCAF1ch8_3956624_3980899	6.66412886356828	very high
s164p601887	s164p601887	8	3.907323	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_3839855_3848619-GENE_ScYP8k31HRSCAF1ch8_3956624_3980899	6.66412886356828	very high
s164p607562	s164p607562	8	3.912779	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_3839855_3848619-GENE_ScYP8k31HRSCAF1ch8_3956624_3980899	6.66412886356828	very high
s164p637567	s164p637567	8	3.950891	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_3839855_3848619-GENE_ScYP8k31HRSCAF1ch8_3956624_3980899	6.66412886356828	very high
s164p643143	s164p643143	8	3.956672	synonymous_variant	b1_b1_g26342	6.66412886356828	very high
s164p685757	s164p685757	8	3.999257	upstream_gene_variant	b1_b1_g26343	6.66412886356828	very high
s2673p67932	s2673p67932	8	4.293905	downstream_gene_variant	b2_b2_g36271	6.66412886356828	very high
s2673p61958	s2673p61958	8	4.299914	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_4286771_4291259-GENE_ScYP8k31HRSCAF1ch8_4308647_4334005	6.66412886356828	very high
s2673p11710	s2673p11710	8	4.348198	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_4308647_4334005-GENE_ScYP8k31HRSCAF1ch8_4449931_4454525	6.66412886356828	very high
s716p36190	s716p36190	8	4.398314	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_4308647_4334005-GENE_ScYP8k31HRSCAF1ch8_4449931_4454525	6.66412886356828	very high
s716p39702	s716p39702	8	4.401897	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_4308647_4334005-GENE_ScYP8k31HRSCAF1ch8_4449931_4454525	6.66412886356828	very high
s716p59496	s716p59496	8	4.421695	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_4308647_4334005-GENE_ScYP8k31HRSCAF1ch8_4449931_4454525	6.66412886356828	very high
s716p104362	s716p104362	8	4.464703	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_4449931_4454525-GENE_ScYP8k31HRSCAF1ch8_4492396_4495324	6.66412886356828	very high
s716p129047	s716p129047	8	4.489455	upstream_gene_variant	b1_b1_g26368	6.66412886356828	very high
s716p129906	s716p129906	8	4.490314	upstream_gene_variant	b1_b1_g26368	6.66412886356828	very high
s716p169798	s716p169798	8	4.530302	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_4492396_4495324-GENE_ScYP8k31HRSCAF1ch8_4702930_4710953	6.4352834347914	very high
s716p206436	s716p206436	8	4.567044	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_4492396_4495324-GENE_ScYP8k31HRSCAF1ch8_4702930_4710953	6.4352834347914	very high
s716p225010	s716p225010	8	4.58582	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_4492396_4495324-GENE_ScYP8k31HRSCAF1ch8_4702930_4710953	6.4352834347914	very high
s716p267652	s716p267652	8	4.628548	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_4492396_4495324-GENE_ScYP8k31HRSCAF1ch8_4702930_4710953	6.4352834347914	very high
s716p275051	s716p275051	8	4.635948	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_4492396_4495324-GENE_ScYP8k31HRSCAF1ch8_4702930_4710953	6.4352834347914	very high
s6337p14129	s6337p14129	8	4.787818	upstream_gene_variant	b1_b1_g26374	6.4352834347914	very high
s1431p158926	s1431p158926	8	4.823042	synonymous_variant	b1_b1_g26377	6.4352834347914	very high
s1431p139349	s1431p139349	8	4.842706	downstream_gene_variant	b1_b1_g26378	6.4352834347914	very high
s1431p138144	s1431p138144	8	4.843911	missense_variant	b1_b1_g26379	6.4352834347914	very high
s1431p125229	s1431p125229	8	4.856825	upstream_gene_variant	b1_b1_g26380	6.4352834347914	very high
s1431p112758	s1431p112758	8	4.869269	downstream_gene_variant	b1_b1_g26382	6.4352834347914	very high
s1431p88757	s1431p88757	8	4.893291	intron_variant	b2_b2_g36297	6.4352834347914	very high
s1431p80760	s1431p80760	8	4.90142	upstream_gene_variant	b2_b2_g36298	6.4352834347914	very high
s1431p55589	s1431p55589	8	4.926571	intron_variant	b2_b2_g36298	6.4352834347914	very high
s1431p19907	s1431p19907	8	4.962423	downstream_gene_variant	b2_b2_g36303	6.4352834347914	very high
s444p346187	s444p346187	8	5.056425	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_5039558_5044215-GENE_ScYP8k31HRSCAF1ch8_5125451_5136416	6.4352834347914	very high
s444p333342	s444p333342	8	5.06927	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_5039558_5044215-GENE_ScYP8k31HRSCAF1ch8_5125451_5136416	6.4352834347914	very high
s444p303299	s444p303299	8	5.099313	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_5039558_5044215-GENE_ScYP8k31HRSCAF1ch8_5125451_5136416	6.4352834347914	very high
s444p259820	s444p259820	8	5.142792	intron_variant	b1_b1_g26409	6.4352834347914	very high
s444p259344	s444p259344	8	5.143268	intron_variant	b1_b1_g26409	6.4352834347914	very high
s444p240020	s444p240020	8	5.162592	intron_variant	b1_b1_g26409	6.4352834347914	very high
s444p201171	s444p201171	8	5.201441	intron_variant	b1_b1_g26409	6.4352834347914	very high
s444p146892	s444p146892	8	5.25572	downstream_gene_variant	b1_b1_g26412	6.4352834347914	very high
s444p84995	s444p84995	8	5.317567	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_5266830_5271681-GENE_ScYP8k31HRSCAF1ch8_5327400_5339353	6.4352834347914	very high
s2747p42599	s2747p42599	8	5.456907	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_5327400_5339353-GENE_ScYP8k31HRSCAF1ch8_5473654_5498910	6.4352834347914	very high
s2596p40806	s2596p40806	8	5.564853	intron_variant	b2_b2_g36334	2.85221524553244	high
s2596p25064	s2596p25064	8	5.580605	intron_variant	b2_b2_g36334	2.85221524553244	high
s1244p83834	s1244p83834	8	5.722899	downstream_gene_variant	b2_b2_g36344	2.85221524553244	high
s1991p96503	s1991p96503	8	6.030696	downstream_gene_variant	b1_b1_g26456	2.85221524553244	high
s855p232780	s855p232780	8	6.101306	intron_variant	b1_b1_g26458	2.85221524553244	high
s2220p22949	s2220p22949	8	6.570437	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_6536502_6537003-GENE_ScYP8k31HRSCAF1ch8_6625565_6625777	3.04853827829142	very high
s2675p49997	s2675p49997	8	6.941737	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_6743554_6745637-GENE_ScYP8k31HRSCAF1ch8_6972562_6973384	3.04853827829142	very high
s2675p49758	s2675p49758	8	6.941976	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_6743554_6745637-GENE_ScYP8k31HRSCAF1ch8_6972562_6973384	3.04853827829142	very high
s1895p62466	s1895p62466	8	7.122197	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_6972562_6973384-GENE_ScYP8k31HRSCAF1ch8_7242043_7242456	3.04853827829142	very high
s1895p5244	s1895p5244	8	7.179169	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_6972562_6973384-GENE_ScYP8k31HRSCAF1ch8_7242043_7242456	3.04853827829142	very high
s5072p18264	s5072p18264	8	7.205052	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_6972562_6973384-GENE_ScYP8k31HRSCAF1ch8_7242043_7242456	3.04853827829142	very high
s1635p17134	s1635p17134	8	7.365771	downstream_gene_variant	b1_b1_g26499	3.04853827829142	very high
s722p67014	s722p67014	8	7.453588	intron_variant	b1_b1_g26500	3.04853827829142	very high
s722p67325	s722p67325	8	7.453899	intron_variant	b1_b1_g26500	3.04853827829142	very high
s722p130820	s722p130820	8	7.516117	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_7419774_7483370-GENE_ScYP8k31HRSCAF1ch8_7535179_7549440	4.67895883972109	very high
s3824p26333	s3824p26333	8	7.714451	intron_variant	b1_b1_g26508	4.67895883972109	very high
s6748p1485	s6748p1485	8	7.76755	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_7730530_7735388-GENE_ScYP8k31HRSCAF1ch8_7886271_7886767	4.67895883972109	very high
s1983p72983	s1983p72983	8	7.866937	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_7730530_7735388-GENE_ScYP8k31HRSCAF1ch8_7886271_7886767	4.67895883972109	very high
s1983p17869	s1983p17869	8	7.921535	downstream_gene_variant	b2_b2_g36415	4.67895883972109	very high
s1983p7182	s1983p7182	8	7.932424	upstream_gene_variant	b1_b1_g26515	4.67895883972109	very high
s1983p4611	s1983p4611	8	7.934995	intron_variant	b1_b1_g26515	4.67895883972109	very high
s3247p34383	s3247p34383	8	7.985461	upstream_gene_variant	b1_b1_g26516	4.67895883972109	very high
s681p259472	s681p259472	8	8.129918	intron_variant	b1_b1_g26518	4.67895883972109	very high
s681p226960	s681p226960	8	8.162512	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_8025685_8154752-GENE_ScYP8k31HRSCAF1ch8_8204485_8205099	4.67895883972109	very high
s681p160640	s681p160640	8	8.228528	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_8204485_8205099-GENE_ScYP8k31HRSCAF1ch8_8255261_8266915	4.67895883972109	very high
s681p149435	s681p149435	8	8.239775	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_8204485_8205099-GENE_ScYP8k31HRSCAF1ch8_8255261_8266915	4.67895883972109	very high
s681p65719	s681p65719	8	8.32301	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_8255261_8266915-GENE_ScYP8k31HRSCAF1ch8_8381967_8392107	4.67895883972109	very high
s681p8351	s681p8351	8	8.379324	upstream_gene_variant	b1_b1_g26531	4.67895883972109	very high
s4405p25179	s4405p25179	8	8.419076	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_8410948_8411376-GENE_ScYP8k31HRSCAF1ch8_8446329_8451062	4.67895883972109	very high
s4071p12506	s4071p12506	8	8.520617	upstream_gene_variant	b2_b2_g36444	4.50799740263214	very high
s4071p23832	s4071p23832	8	8.532011	upstream_gene_variant	b2_b2_g36445	4.50799740263214	very high
s4731p26907	s4731p26907	8	8.579708	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_8544930_8571193-GENE_ScYP8k31HRSCAF1ch8_8584813_8599483	4.50799740263214	very high
s4731p13085	s4731p13085	8	8.592946	intron_variant	b1_b1_g26555	4.50799740263214	very high
s8017p3510	s8017p3510	8	8.665204	synonymous_variant	b2_b2_g36455	4.50799740263214	very high
s5040p5143	s5040p5143	8	8.67811	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_8665076_8665624-GENE_ScYP8k31HRSCAF1ch8_8794988_8800953	4.50799740263214	very high
s5040p9540	s5040p9540	8	8.68274	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_8665076_8665624-GENE_ScYP8k31HRSCAF1ch8_8794988_8800953	4.50799740263214	very high
s5040p10582	s5040p10582	8	8.683782	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_8665076_8665624-GENE_ScYP8k31HRSCAF1ch8_8794988_8800953	4.50799740263214	very high
s3885p25898	s3885p25898	8	8.840133	upstream_gene_variant	b2_b2_g36464	4.50799740263214	very high
s3885p31469	s3885p31469	8	8.845704	intron_variant	b1_b1_g26574	4.50799740263214	very high
s3885p52322	s3885p52322	8	8.866369	downstream_gene_variant	b1_b1_g26576	4.50799740263214	very high
s3885p53844	s3885p53844	8	8.867891	synonymous_variant	b1_b1_g26575	4.50799740263214	very high
s465p385057	s465p385057	8	8.926871	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_8903499_8908271-GENE_ScYP8k31HRSCAF1ch8_8965693_8969635	4.50799740263214	very high
s465p381077	s465p381077	8	8.930822	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_8903499_8908271-GENE_ScYP8k31HRSCAF1ch8_8965693_8969635	4.50799740263214	very high
s465p298819	s465p298819	8	9.011201	intron_variant	b1_b1_g26589	4.50799740263214	very high
s465p294173	s465p294173	8	9.015846	upstream_gene_variant	b2_b2_g36481	4.50799740263214	very high
s465p288554	s465p288554	8	9.021517	upstream_gene_variant	b1_b1_g26589	4.50799740263214	very high
s465p285824	s465p285824	8	9.024247	intron_variant	b2_b2_g36481	4.50799740263214	very high
s465p278121	s465p278121	8	9.03195	upstream_gene_variant	b1_b1_g26592	4.50799740263214	very high
s465p275136	s465p275136	8	9.034935	upstream_gene_variant	b1_b1_g26592	4.50799740263214	very high
s465p271799	s465p271799	8	9.038272	intron_variant	b2_b2_g36481	4.50799740263214	very high
s465p260199	s465p260199	8	9.049858	downstream_gene_variant	b1_b1_g26595	4.50799740263214	very high
s465p252374	s465p252374	8	9.057683	downstream_gene_variant	b2_b2_g36481	4.50799740263214	very high
s465p209332	s465p209332	8	9.100767	intron_variant	b2_b2_g36486	4.50799740263214	very high
s465p203856	s465p203856	8	9.106003	downstream_gene_variant	b2_b2_g36486	4.50799740263214	very high
s4512p15811	s4512p15811	8	9.32522	downstream_gene_variant	b2_b2_g36492	4.50799740263214	very high
s2871p67903	s2871p67903	8	9.37818	downstream_gene_variant	b2_b2_g36496	4.50799740263214	very high
s4370p15886	s4370p15886	8	9.464634	upstream_gene_variant	b1_b1_g26616	4.50799740263214	very high
s1195p89774	s1195p89774	8	9.614579	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_9579734_9580129-GENE_ScYP8k31HRSCAF1ch8_9640208_9676182	4.44819249813459	very high
s1195p45314	s1195p45314	8	9.659141	intron_variant	b1_b1_g26627	4.44819249813459	very high
s1195p33365	s1195p33365	8	9.67109	intron_variant	b1_b1_g26627	4.44819249813459	very high
s1195p31268	s1195p31268	8	9.673187	synonymous_variant	b1_b1_g26627	4.44819249813459	very high
s1195p24989	s1195p24989	8	9.679419	upstream_gene_variant	b1_b1_g26629	4.44819249813459	very high
s1195p14736	s1195p14736	8	9.693987	intron_variant	b1_b1_g26629	4.44819249813459	very high
s1581p42035	s1581p42035	8	9.754194	intron_variant	b1_b1_g26630	4.44819249813459	very high
s1581p106573	s1581p106573	8	9.818916	upstream_gene_variant	b1_b1_g26631	4.44819249813459	very high
s1581p107421	s1581p107421	8	9.819764	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_9808085_9814542-GENE_ScYP8k31HRSCAF1ch8_9827132_9830238	4.44819249813459	very high
s1581p113539	s1581p113539	8	9.825892	downstream_gene_variant	b2_b2_g36533	4.44819249813459	very high
s1581p135248	s1581p135248	8	9.847437	upstream_gene_variant	b1_b1_g26647	4.44819249813459	very high
s1581p139163	s1581p139163	8	9.851352	upstream_gene_variant	b1_b1_g26646	4.44819249813459	very high
s1581p141839	s1581p141839	8	9.854028	downstream_gene_variant	b1_b1_g26647	4.44819249813459	very high
s175p623544	s175p623544	8	9.992929	synonymous_variant	b1_b1_g26660	4.44819249813459	very high
s175p578750	s175p578750	8	10.037555	upstream_gene_variant	b1_b1_g26666	4.44819249813459	very high
s175p572375	s175p572375	8	10.043765	intron_variant	b1_b1_g26666	4.44819249813459	very high
s175p545334	s175p545334	8	10.07093	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_10052575_10056513-GENE_ScYP8k31HRSCAF1ch8_10095440_10096319	4.44819249813459	very high
s175p522106	s175p522106	8	10.094135	downstream_gene_variant	b2_b2_g36553	4.44819249813459	very high
s175p416220	s175p416220	8	10.198595	intergenic_region	b1_file_2_7804_g-GENE_ScYP8k31HRSCAF1ch8_10246413_10249377	4.44819249813459	very high
s175p380637	s175p380637	8	10.234202	intergenic_region	b1_file_2_7804_g-GENE_ScYP8k31HRSCAF1ch8_10246413_10249377	4.44819249813459	very high
s175p353701	s175p353701	8	10.261137	upstream_gene_variant	b1_b1_g26684	4.44819249813459	very high
s175p346655	s175p346655	8	10.268186	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_10255564_10260933-GENE_ScYP8k31HRSCAF1ch8_10281003_10287348	4.44819249813459	very high
s175p334273	s175p334273	8	10.280602	downstream_gene_variant	b2_b2_g36563	4.44819249813459	very high
s175p317155	s175p317155	8	10.297725	intron_variant	b1_b1_g26691	4.44819249813459	very high
s175p316808	s175p316808	8	10.298072	intron_variant	b1_b1_g26691	4.44819249813459	very high
s175p278294	s175p278294	8	10.336674	downstream_gene_variant	b2_b2_g36567	4.44819249813459	very high
s175p268464	s175p268464	8	10.346605	upstream_gene_variant	b2_b2_g36567	4.44819249813459	very high
s175p247729	s175p247729	8	10.367303	upstream_gene_variant	b2_b2_g36570	4.44819249813459	very high
s175p246090	s175p246090	8	10.368942	upstream_gene_variant	b2_b2_g36570	4.44819249813459	very high
s175p227784	s175p227784	8	10.385231	upstream_gene_variant	b2_b2_g36578	4.44819249813459	very high
s175p221662	s175p221662	8	10.391417	downstream_gene_variant	b2_b2_g36578	4.44819249813459	very high
s175p201595	s175p201595	8	10.411524	intron_variant	b1_b1_g26706	4.44819249813459	very high
s175p199708	s175p199708	8	10.413411	intron_variant	b1_b1_g26706	4.44819249813459	very high
s175p195975	s175p195975	8	10.417145	intron_variant	b1_b1_g26706	4.44819249813459	very high
s175p195748	s175p195748	8	10.417373	intron_variant	b1_b1_g26706	4.44819249813459	very high
s175p195416	s175p195416	8	10.417705	synonymous_variant	b1_b1_g26706	4.44819249813459	very high
s175p171935	s175p171935	8	10.441214	upstream_gene_variant	b1_b1_g26708	4.44819249813459	very high
s175p167767	s175p167767	8	10.445382	intron_variant	b1_b1_g26711	4.44819249813459	very high
s175p135926	s175p135926	8	10.477242	intron_variant	b1_b1_g26711	4.44819249813459	very high
s175p106431	s175p106431	8	10.507264	intron_variant	b1_b1_g26711	1.66481258418856	high
s175p11534	s175p11534	8	10.599621	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_10442637_10581772-GENE_ScYP8k31HRSCAF1ch8_10618946_10620198	1.66481258418856	high
s211p66495	s211p66495	8	10.675229	intron_variant	b1_b1_g26717	1.66481258418856	high
s211p69123	s211p69123	8	10.677857	intron_variant	b1_b1_g26717	1.66481258418856	high
s211p169447	s211p169447	8	10.778181	upstream_gene_variant	b1_b1_g26717	1.66481258418856	high
s211p183168	s211p183168	8	10.791898	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_10658954_10776365-GENE_ScYP8k31HRSCAF1ch8_10857548_10861791	1.66481258418856	high
s211p362175	s211p362175	8	10.970113	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_10857548_10861791-GENE_ScYP8k31HRSCAF1ch8_11042194_11044519	1.66481258418856	high
s211p478704	s211p478704	8	11.08655	upstream_gene_variant	b2_b2_g36600	1.66481258418856	high
s211p480554	s211p480554	8	11.088363	upstream_gene_variant	b2_b2_g36600	1.66481258418856	high
s211p534930	s211p534930	8	11.142365	intron_variant	b1_b1_g26726	1.66481258418856	high
s384p156081	s384p156081	8	11.665498	upstream_gene_variant	b2_b2_g36623	1.23429703301181	high
s6057p8546	s6057p8546	8	12.19237	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_12176607_12179182-GENE_ScYP8k31HRSCAF1ch8_12259321_12408983	1.23429703301181	high
s197p275857	s197p275857	8	12.476948	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_12259321_12408983-GENE_ScYP8k31HRSCAF1ch8_12498302_12505166	1.23429703301181	high
s403p16814	s403p16814	8	14.434827	intron_variant	b1_b1_g26800	1.22111898491263	high
s1390p147879	s1390p147879	8	14.605813	intron_variant	b1_b1_g26808	1.1276651449912	low
s79p372378	s79p372378	8	15.130016	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_15050881_15102093-GENE_ScYP8k31HRSCAF1ch8_15168395_15171534	1.1276651449912	low
s79p417779	s79p417779	8	15.175647	upstream_gene_variant	b2_b2_g36708	1.1276651449912	low
s79p455337	s79p455337	8	15.213178	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_15175970_15184748-GENE_ScYP8k31HRSCAF1ch8_15403832_15404501	1.1276651449912	low
s79p487305	s79p487305	8	15.24502	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_15175970_15184748-GENE_ScYP8k31HRSCAF1ch8_15403832_15404501	1.1276651449912	low
s440p118214	s440p118214	8	15.948577	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_15902651_15911019-GENE_ScYP8k31HRSCAF1ch8_15958522_15961089	0.969690202286421	low
s440p185617	s440p185617	8	16.014347	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_15995329_16004359-GENE_ScYP8k31HRSCAF1ch8_16136365_16139169	0.969690202286421	low
s440p321368	s440p321368	8	16.149957	intron_variant	b1_b1_g26857	0.969690202286421	low
s912p97803	s912p97803	8	16.343011	upstream_gene_variant	b1_b1_g26875	0.969690202286421	low
s912p117238	s912p117238	8	16.362578	intron_variant	b2_b2_g36749	0.969690202286421	low
s912p178660	s912p178660	8	16.423995	upstream_gene_variant	b1_b1_g26881	0.969690202286421	low
s1223p190246	s1223p190246	8	16.689719	upstream_gene_variant	b1_b1_g26889	0.462572894878495	very low
s137p814574	s137p814574	8	16.741934	upstream_gene_variant	b2_b2_g36760	0.462572894878495	very low
s137p677209	s137p677209	8	16.878707	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_16871831_16873472-GENE_ScYP8k31HRSCAF1ch8_16888049_16900066	0.462572894878495	very low
s137p676687	s137p676687	8	16.879229	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_16871831_16873472-GENE_ScYP8k31HRSCAF1ch8_16888049_16900066	0.462572894878495	very low
s137p458370	s137p458370	8	17.097377	intron_variant	b1_b1_g26911	0.462572894878495	very low
s137p244122	s137p244122	8	17.311385	intergenic_region	GENE_ScYP8k31HRSCAF1ch8_17301422_17305450-GENE_ScYP8k31HRSCAF1ch8_17318313_17326258	0.462572894878495	very low
s137p223617	s137p223617	8	17.331715	missense_variant	b1_b1_g26920	0.462572894878495	very low
